MSE,MSE,MSE
130096.26128624806,130096.26128624806,130096.26128624806
125786.63601976976,125786.63601976976,125786.63601976976
121614.38654071759,121614.38654071759,121614.38654071759
122730.23889781526,122730.23889781526,122730.23889781526
131323.24987409724,131323.24987409724,131323.24987409724
121265.30928739582,121265.30928739582,121265.30928739582
124629.44366661808,124629.44366661808,124629.44366661808
116617.24178675082,116617.24178675082,116617.24178675082
122260.6864348911,122260.6864348911,122260.6864348911
119211.80372473352,119211.80372473352,119211.80372473352
128942.03137397888,128942.03137397888,128942.03137397888
122901.64383036044,122901.64383036044,122901.64383036044
124806.69827672148,124806.69827672148,124806.69827672148
123584.38594913969,123584.38594913969,123584.38594913969
120883.564498619,120883.564498619,120883.564498619
127341.69511056528,127341.69511056528,127341.69511056528
117650.29684021746,117650.29684021746,117650.29684021746
125764.10163245298,125764.10163245298,125764.10163245298
125174.51794079851,125174.51794079851,125174.51794079851
119477.16938855148,119477.16938855148,119477.16938855148
122546.16837683828,122546.16837683828,122546.16837683828
121915.3325139705,121915.3325139705,121915.3325139705
128459.82136932641,128459.82136932641,128459.82136932641
125380.35147023223,125380.35147023223,125380.35147023223
139543.463176128,139543.463176128,139543.463176128
132306.49018665607,132306.49018665607,132306.49018665607
119780.47113334101,119780.47113334101,119780.47113334101
126218.73222007397,126218.73222007397,126218.73222007397
131504.1331650163,131504.1331650163,131504.1331650163
124176.57733002322,124176.57733002322,124176.57733002322
